LC,OWNER,Delivery Date,Type Armada,Nopol,Jalur,Area,Fuel's Type,Qty Fuel,Type Delivery,DO,CBM,DP,UJP,Total Cost,Pulau,Destination,Jenis Armada,Type,Key,Shipment Area,Cost Ext,Month,Kategori,Gap Cost Int - Ext,% Saving
250204L069,HCI,4-Feb-2025,CDELC,BK8141LM,Medan,Sumatera Utara,,,Store,21,8.17,7,40000,267833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C234,HCI,4-Feb-2025,PICKUP,BK8814MG,Medan,Sumatera Utara,,,Customer,2,1.38,2,58000,171916.67,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250204L074,HCI,4-Feb-2025,PICKUP,BK8814MG,Medan,Sumatera Utara,,,Store,4,2.88,4,98500,192074.4,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250204D065,AHI,4-Feb-2025,CDELC,BK8803MH,Medan,Sumatera Utara,,,Store,219,9.44,1,40000,121450.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,NON REGULAR,,
250204L071,HCI,4-Feb-2025,CDELC,BK8806MH,Medan,Sumatera Utara,,,Store,12,8.06,12,85000,370633.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L001,HCI,4-Feb-2025,CDELC,BK8047MQ,Medan,Sumatera Utara,,,Store,18,8.88,16,75000,279933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L068,HCI,4-Feb-2025,CDELC,BK8172LM,Medan,Sumatera Utara,,,Store,15,7.39,7,85000,289933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L048,AHI,4-Feb-2025,CDELC,BK8146LM,Medan,Sumatera Utara,,,Store,20,8.73,8,48000,252933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C158,HCI,4-Feb-2025,CDELC,BK8807MH,Medan,Sumatera Utara,,,Customer,7,8.22,12,138000,342933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C137,HCI,4-Feb-2025,CDELC,BK8803MH,Binjai,Sumatera Utara,,,Customer,6,7.55,11,130500,232966.67,,Binjai,CDE,Internal,Sumatera UtaraBinjaiCDE,DALAM KOTA,,2,REGULAR,,
250204C135,HCI,4-Feb-2025,CDELC,BK8022LM,Medan,Sumatera Utara,,,Customer,18,8.39,14,114000,318933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C162,FBI,4-Feb-2025,PICKUP,BK8136LM,Medan,Sumatera Utara,,,Customer,7,1.93,5,59000,263933.33,,Medan,MINI VAN BOX,Internal,Sumatera UtaraMedanMINI VAN BOX,DALAM KOTA,,2,REGULAR,,
250204C236,HCI,4-Feb-2025,CDELC,BK8191MQ,Medan,Sumatera Utara,,,Customer,2,6.55,9,120500,200066.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C163,FBI,4-Feb-2025,PICKUP,A8330VX,Medan,Sumatera Utara,,,Customer,6,1.87,3,48500,207633.33,,Medan,MINI VAN BOX,Internal,Sumatera UtaraMedanMINI VAN BOX,DALAM KOTA,,2,REGULAR,,
250204D066,AHI,4-Feb-2025,CDELC,BK8135LM,Medan,Sumatera Utara,,,Store,127,6.71,1,40000,95700.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,NON REGULAR,,
250204L084,AHI,4-Feb-2025,CDELC,BK8075MQ,Medan,Sumatera Utara,,,Store,20,8.64,10,45000,156400.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L045,AHI,4-Feb-2025,CDELC,BK8009MI,Medan,Sumatera Utara,,,Store,36,7.88,1,35000,186497.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,NON REGULAR,,
250204C138,HCI,4-Feb-2025,CDELC,BK8099LM,Medan,Sumatera Utara,,,Customer,8,9.12,8,90500,174666.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L075,HCI,4-Feb-2025,PICKUP,BK8091LM,Medan,Sumatera Utara,,,Store,6,2.01,4,77000,147370.0,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250204C143,HCI,4-Feb-2025,CDELC,BK8805MH,Medan,Sumatera Utara,,,Customer,12,8.56,12,60000,222900.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L078,AHI,4-Feb-2025,CDELC,BK8813MG,Medan,Sumatera Utara,,,Store,23,8.17,10,38000,111997.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204C140,HCI,4-Feb-2025,CDELC,BK8309MS,Medan,Sumatera Utara,,,Customer,18,8.81,15,89500,251966.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L062,HCI,4-Feb-2025,CDELC,BK8299MH,Medan,Sumatera Utara,,,Store,14,8.36,13,95000,322833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204D036,HCI,4-Feb-2025,CDELC,BK8192MQ,Medan,Sumatera Utara,,,Store,19,8.72,4,55000,282833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L066,HCI,4-Feb-2025,CDELC,BK8073MQ,Medan,Sumatera Utara,,,Store,7,8.09,11,66000,179916.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204L083,AHI,4-Feb-2025,CDELC,BK8073MQ,Medan,Sumatera Utara,,,Store,22,9.81,9,25000,62833.34,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250204D068,AHI,4-Feb-2025,CDELC,BK8191MQ,Medan,Sumatera Utara,,,Store,1,8,1,25000,62833.34,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,NON REGULAR,,
250204D056,HCI,4-Feb-2025,CDELC,BK8074MQ,Medan,Sumatera Utara,,,Store,29,9.43,3,63500,239600.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202L037,HCI,2-Feb-2025,CDELC,BK8009MI,Medan,Sumatera Utara,,,Store,16,7.87,7,60000,211497.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202L039,HCI,2-Feb-2025,CDELC,BK8299MH,Medan,Sumatera Utara,,,Store,19,8.48,11,106000,268900.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202C138,HCI,2-Feb-2025,CDELC,BK8075MQ,Medan,Sumatera Utara,,,Customer,13,7.22,12,124000,218833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202L017,HCI,2-Feb-2025,CDELC,BK8135LM,Medan,Sumatera Utara,,,Store,4,8.76,12,60000,154833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202L045,HCI,2-Feb-2025,CDELC,BK8099LM,Medan,Sumatera Utara,,,Store,3,8.16,11,94000,256466.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202C192,HCI,2-Feb-2025,CDELC,BK8047MQ,Medan,Sumatera Utara,,,Customer,1,9.1,7,87000,249900.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202C140,HCI,2-Feb-2025,CDELC,BK8191MQ,Medan,Sumatera Utara,,,Customer,11,8.18,7,84500,247400.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250202L041,HCI,2-Feb-2025,CDELC,BK8803MH,Medan,Sumatera Utara,,,Store,168,9.06,10,75000,302833.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250203C190,HCI,3-Feb-2025,CDELC,BK8023LM,Medan,Sumatera Utara,,,Customer,6,9.5,7,58000,392374.4,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250206L074,HCI,6-Feb-2025,PICKUP,BK8814MG,Medan,Sumatera Utara,,,Store,3,1.96,3,54000,602348.8,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
250206C131,HCI,6-Feb-2025,CDELC,BK8805MH,Medan,Sumatera Utara,,,Customer,6,7.88,9,151500,473750.0,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250206C130,HCI,6-Feb-2025,CDELC,BK8022LM,Medan,Sumatera Utara,,,Customer,13,7.84,8,70000,355633.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250206C133,HCI,6-Feb-2025,CDELC,BK8309MS,Medan,Sumatera Utara,,,Customer,3,8.11,12,89500,191966.67,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250206C134,HCI,6-Feb-2025,CDELC,BK8804MH,Medan,Sumatera Utara,,,Customer,21,7.94,13,140000,344933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250206C135,HCI,6-Feb-2025,CDELC,BK8191MQ,Medan,Sumatera Utara,,,Customer,10,8.39,9,47000,251933.33,,Medan,CDE,Internal,Sumatera UtaraMedanCDE,DALAM KOTA,,2,REGULAR,,
250206C136,HCI,6-Feb-2025,PICKUP,BK8091LM,Medan,Sumatera Utara,,,Customer,6,2.47,5,86500,291433.33,,Medan,PICKUP,Internal,Sumatera UtaraMedanPICKUP,DALAM KOTA,,2,REGULAR,,
